subject,predicate,object
HSCode,hasSection,I
HSCode,hasSection,II
HSCode,hasSection,III
HSCode,hasSection,IV
HSCode,hasSection,V
HSCode,hasSection,VI
HSCode,hasSection,VII
HSCode,hasSection,VIII
HSCode,hasSection,IX
HSCode,hasSection,X
HSCode,hasSection,XI
HSCode,hasSection,XII
HSCode,hasSection,XIII
HSCode,hasSection,XIV
HSCode,hasSection,XV
HSCode,hasSection,XVI
HSCode,hasSection,XVII
HSCode,hasSection,XVIII
HSCode,hasSection,XIX
HSCode,hasSection,XX
HSCode,hasSection,XXI
I,hasDescription,live animals; animal products
II,hasDescription,Vegetable products
III,hasDescription,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
IV,hasDescription,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
V,hasDescription,Mineral products
VI,hasDescription,Products of the chemical or allied industries
VII,hasDescription,Plastics and articles thereof; rubber and articles thereof
VIII,hasDescription,"Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
IX,hasDescription,"Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
X,hasDescription,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard; paper and paperboard and articles thereof
XI,hasDescription,Textiles and textile articles
XII,hasDescription,"Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair"
XIII,hasDescription,"Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware"
XIV,hasDescription,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin"
XV,hasDescription,Base metals and articles of base metal
XVI,hasDescription,"Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
XVII,hasDescription,"Vehicles, aircraft, vessels and associated transport equipment"
XVIII,hasDescription,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof"
